n=0
1	30
2	43
3	40
4	46
5	43
6	46
7	40
8	45
9	28
10	31
n=1
1	33
2	31
3	41
4	30
5	33
6	26
7	42
8	32
9	33
10	24
n=3
1	27
2	25
3	19
4	27
5	28
6	30
7	40
8	30
9	34
10	21
n=4
1	29
2	27
3	32
4	36
5	23
6	37
7	37
8	25
9	38
10	32
n=5
1	29
2	17
3	32
4	28
5	25
6	30
7	30
8	22
9	33
10	22
n=2
1	33
2	29
3	27
4	28
5	30
6	39
7	25
8	27
9	37
10	35
n=-1
1	16
2	10
3	13
4	11
5	15
6	11
7	12
8	12
9	11
10	9
